iter	Passed	Remaining
1106	39627	31966
1107	39672	31938
1108	39690	31888
1109	39732	31857
1110	39756	31812
1111	39796	31779
1112	39818	31732
1113	39862	31704
1114	39900	31669
1115	39934	31632
1116	39977	31602
1117	40018	31570
1118	40049	31531
1119	40089	31498
1120	40131	31467
1121	40182	31444
1122	40225	31413
1123	40261	31378
1124	40307	31350
1125	40346	31317
1126	40384	31283
1127	40432	31256
1128	40474	31225
1129	40510	31189
1130	40540	31149
1131	40577	31114
1132	40615	31080
1133	40645	31039
1134	40685	31006
1135	40723	30972
1136	40760	30937
1137	40802	30906
1138	40835	30868
1139	40870	30832
1140	40905	30795
1141	40945	30762
1142	40988	30732
1143	41029	30700
1144	41069	30667
1145	41108	30634
1146	41146	30600
1147	41188	30568
1148	41227	30534
1149	41267	30502
1150	41295	30460
1151	41333	30425
1152	41372	30392
1153	41409	30357
1154	41439	30317
1155	41493	30294
1156	41533	30261
1157	41568	30225
1158	41601	30187
1159	41647	30158
1160	41683	30122
1161	41707	30078
1162	41737	30038
1163	41776	30004
1164	41829	29980
1165	41859	29940
1166	41882	29895
1167	41931	29868
1168	41954	29823
1169	41988	29787
1170	42028	29753
1171	42072	29723
1172	42114	29691
1173	42154	29659
1174	42197	29627
1175	42246	29601
1176	42277	29561
1177	42317	29528
1178	42358	29496
1179	42395	29461
1180	42442	29433
1181	42493	29407
1182	42530	29372
1183	42586	29350
1184	42630	29320
1185	42660	29279
1186	42704	29249
1187	42743	29214
1188	42787	29184
1189	42825	29150
1190	42862	29114
1191	42903	29082
1192	42942	29048
1193	42981	29013
1194	43025	28983
1195	43065	28950
1196	43110	28920
1197	43151	28887
1198	43183	28848
1199	43233	28822
1200	43275	28789
1201	43315	28756
1202	43355	28723
1203	43392	28688
1204	43434	28655
1205	43471	28620
1206	43512	28587
1207	43562	28561
1208	43628	28544
1209	43702	28532
1210	43761	28511
1211	43823	28492
1212	43880	28469
1213	43934	28445
1214	43995	28425
1215	44045	28397
1216	44132	28394
1217	44192	28373
1218	44266	28361
1219	44332	28343
1220	44403	28329
1221	44465	28309
1222	44515	28281
1223	44557	28248
1224	44617	28227
1225	44673	28203
1226	44728	28178
1227	44780	28151
1228	44833	28125
1229	44874	28092
1230	44919	28060
1231	44959	28026
1232	45004	27995
1233	45046	27962
1234	45088	27929
1235	45127	27894
1236	45174	27864
1237	45216	27831
1238	45253	27794
1239	45295	27761
1240	45331	27725
1241	45374	27692
1242	45415	27658
1243	45459	27626
1244	45502	27593
1245	45544	27560
1246	45590	27529
1247	45636	27498
1248	45683	27468
1249	45731	27438
1250	45795	27418
1251	45847	27391
1252	45912	27371
1253	45964	27343
1254	46022	27319
1255	46074	27292
1256	46125	27264
1257	46173	27234
1258	46220	27203
1259	46265	27171
1260	46302	27135
1261	46344	27101
1262	46386	27068
1263	46427	27033
1264	46468	26999
1265	46512	26967
1266	46561	26937
1267	46620	26913
1268	46674	26886
1269	46731	26861
1270	46777	26829
1271	46838	26807
1272	46881	26773
1273	46923	26739
1274	46967	26706
1275	47011	26673
1276	47059	26643
1277	47108	26613
1278	47152	26580
1279	47197	26548
1280	47241	26515
1281	47277	26478
1282	47315	26441
1283	47357	26408
1284	47397	26373
1285	47442	26340
1286	47493	26311
1287	47535	26277
1288	47574	26241
1289	47667	26235
1290	47712	26202
1291	47756	26170
1292	47806	26140
1293	47853	26108
1294	47905	26079
1295	47946	26045
1296	47991	26012
1297	48034	25978
1298	48059	25934
1299	48100	25900
1300	48140	25864
1301	48180	25829
1302	48222	25795
1303	48268	25762
1304	48310	25728
1305	48339	25687
1306	48377	25650
1307	48415	25614
1308	48456	25579
1309	48498	25545
1310	48547	25514
1311	48594	25482
1312	48631	25445
1313	48676	25412
1314	48710	25373
1315	48760	25343
1316	48804	25309
1317	48847	25276
1318	48906	25250
1319	48975	25229
1320	49026	25199
1321	49098	25180
1322	49158	25154
1323	49206	25123
1324	49265	25097
1325	49318	25068
1326	49380	25043
1327	49434	25014
1328	49481	24982
1329	49533	24952
1330	49586	24923
1331	49640	24894
1332	49694	24866
1333	49756	24841
1334	49800	24806
1335	49837	24769
1336	49875	24732
1337	49914	24695
1338	49955	24660
1339	50005	24629
1340	50028	24585
1341	50067	24548
1342	50111	24514
1343	50152	24479
1344	50196	24445
1345	50235	24408
1346	50279	24374
1347	50324	24341
1348	50363	24304
1349	50406	24269
1350	50450	24235
1351	50503	24205
1352	50545	24170
1353	50593	24138
1354	50642	24106
1355	50683	24070
1356	50721	24033
1357	50754	23994
1358	50791	23956
1359	50830	23920
1360	50854	23876
1361	50891	23838
1362	50930	23802
1363	50961	23761
1364	51008	23729
1365	51034	23686
1366	51079	23652
1367	51125	23619
1368	51166	23583
1369	51203	23546
1370	51242	23509
1371	51284	23474
1372	51327	23439
1373	51367	23403
1374	51403	23365
1375	51445	23329
1376	51486	23294
1377	51524	23257
1378	51569	23222
1379	51613	23188
1380	51657	23154
1381	51699	23118
1382	51736	23081
1383	51777	23045
1384	51820	23010
1385	51858	22973
1386	51897	22936
1387	51927	22896
1388	51965	22858
1389	52002	22821
1390	52042	22785
1391	52094	22753
1392	52141	22720
1393	52179	22683
1394	52216	22645
1395	52255	22609
1396	52290	22570
1397	52327	22532
1398	52363	22494
1399	52396	22455
1400	52437	22419
1401	52478	22384
1402	52513	22345
1403	52557	22310
1404	52598	22274
1405	52643	22240
1406	52676	22201
1407	52728	22169
1408	52772	22135
1409	52822	22102
1410	52871	22070
1411	52910	22033
1412	52954	21998
1413	52999	21964
1414	53037	21926
1415	53079	21891
1416	53119	21855
1417	53169	21822
1418	53215	21788
1419	53254	21752
1420	53294	21715
1421	53332	21678
1422	53377	21643
1423	53416	21606
1424	53453	21568
1425	53513	21540
1426	53564	21508
1427	53609	21473
1428	53650	21437
1429	53687	21399
1430	53730	21364
1431	53775	21329
1432	53812	21292
1433	53862	21259
1434	53905	21224
1435	53951	21189
1436	53995	21154
1437	54033	21117
1438	54076	21081
1439	54117	21045
1440	54160	21010
1441	54207	20976
1442	54262	20945
1443	54299	20907
1444	54341	20871
1445	54382	20835
1446	54423	20799
1447	54462	20762
1448	54507	20726
1449	54544	20689
1450	54582	20651
1451	54622	20615
1452	54661	20577
1453	54703	20541
1454	54740	20504
1455	54786	20469
1456	54832	20435
1457	54881	20401
1458	54922	20365
1459	54959	20327
1460	54997	20290
1461	55038	20253
1462	55075	20215
1463	55116	20179
1464	55162	20144
1465	55196	20105
1466	55240	20070
1467	55286	20035
1468	55328	19999
1469	55372	19964
1470	55417	19929
1471	55458	19892
1472	55504	19857
1473	55543	19820
1474	55579	19782
1475	55620	19746
1476	55657	19707
1477	55699	19671
1478	55740	19635
1479	55779	19598
1480	55821	19562
1481	55860	19524
1482	55902	19488
1483	55949	19454
1484	55984	19415
1485	56024	19378
1486	56066	19342
1487	56103	19304
1488	56144	19267
1489	56178	19228
1490	56215	19191
1491	56253	19153
1492	56300	19118
1493	56351	19085
1494	56387	19047
1495	56434	19012
1496	56481	18978
1497	56523	18941
1498	56567	18906
1499	56606	18868
1500	56648	18832
1501	56683	18793
1502	56722	18756
1503	56761	18719
1504	56799	18681
1505	56835	18643
1506	56873	18605
1507	56909	18567
1508	56955	18532
1509	57000	18496
1510	57043	18460
1511	57087	18425
1512	57128	18388
1513	57167	18350
1514	57204	18313
1515	57243	18275
1516	57282	18238
1517	57323	18201
1518	57372	18167
1519	57419	18132
1520	57466	18097
1521	57508	18061
1522	57551	18024
1523	57592	17988
1524	57632	17951
1525	57669	17913
1526	57711	17876
1527	57756	17841
1528	57791	17802
1529	57834	17766
1530	57877	17729
1531	57916	17692
1532	57953	17654
1533	57993	17617
1534	58038	17581
1535	58080	17545
1536	58118	17507
1537	58160	17470
1538	58201	17433
1539	58240	17396
1540	58284	17360
1541	58321	17322
1542	58356	17283
1543	58398	17247
1544	58455	17214
1545	58508	17181
1546	58549	17144
1547	58589	17107
1548	58621	17068
1549	58665	17032
1550	58706	16994
1551	58738	16955
1552	58774	16917
1553	58802	16876
1554	58829	16835
1555	58870	16798
1556	58912	16761
1557	58952	16724
1558	58993	16687
1559	59036	16651
1560	59084	16616
1561	59125	16579
1562	59169	16543
1563	59219	16508
1564	59262	16472
1565	59304	16435
1566	59350	16400
1567	59392	16363
1568	59431	16325
1569	59481	16291
1570	59528	16255
1571	59574	16219
1572	59609	16181
1573	59647	16143
1574	59694	16108
1575	59736	16071
1576	59775	16033
1577	59819	15997
1578	59859	15960
1579	59895	15921
1580	59937	15884
1581	59978	15847
1582	60021	15810
1583	60066	15775
1584	60111	15739
1585	60156	15702
1586	60193	15664
1587	60235	15627
1588	60283	15592
1589	60323	15555
1590	60357	15516
1591	60397	15478
1592	60441	15442
1593	60482	15405
1594	60528	15369
1595	60582	15335
1596	60654	15305
1597	60701	15270
1598	60746	15234
1599	60786	15196
1600	60830	15160
1601	60871	15122
1602	60907	15084
1603	60950	15047
1604	60986	15009
1605	61027	14971
1606	61074	14936
1607	61110	14897
1608	61161	14862
1609	61205	14826
1610	61236	14786
1611	61282	14750
1612	61319	14712
1613	61352	14672
1614	61390	14634
1615	61426	14596
1616	61466	14558
1617	61508	14521
1618	61546	14483
1619	61595	14448
1620	61651	14414
1621	61688	14376
1622	61728	14338
1623	61772	14302
1624	61800	14261
1625	61836	14223
1626	61875	14185
1627	61920	14148
1628	61957	14110
1629	62000	14073
1630	62040	14036
1631	62085	13999
1632	62122	13961
1633	62168	13925
1634	62207	13887
1635	62248	13849
1636	62291	13812
1637	62335	13776
1638	62373	13738
1639	62409	13699
1640	62455	13663
1641	62489	13624
1642	62530	13586
1643	62574	13550
1644	62619	13513
1645	62678	13479
1646	62720	13442
1647	62765	13406
1648	62805	13368
1649	62845	13330
1650	62888	13293
1651	62931	13256
1652	62973	13219
1653	63013	13181
1654	63050	13143
1655	63091	13105
1656	63129	13067
1657	63174	13031
1658	63212	12993
1659	63258	12956
1660	63303	12919
1661	63340	12881
1662	63376	12842
1663	63419	12805
